,Author,Title,Citations,Year,Source
0,"Meir, G Rätsch",An introduction to boosting and leveraging,529,2003,http://link.springer.com/chapter/10.1007/3-540-36434-X_4
1," Kolter, MJ Johnson",REDD: A public data set for energy disaggregation research,519,0,http://ai2-s2-pdfs.s3.amazonaws.com/d85a/51e2978f4563ee74bf9a09d3219e03799819.pdf
2,"Laughman, K Lee, R Cox, S Shaw…",Power signature analysis,481,2003,http://ieeexplore.ieee.org/abstract/document/1192027/
3,"Zeifman, K Roth",Nonintrusive appliance load monitoring: Review and outlook,472,2011,http://ieeexplore.ieee.org/abstract/document/5735484/
4,"Efthymiou, G Kalogridis",Smart grid privacy via anonymization of smart metering data,441,2010,http://ieeexplore.ieee.org/abstract/document/5622050/
5," Paatero, PD Lund",A model for generating household electricity load profiles,375,2006,http://onlinelibrary.wiley.com/doi/10.1002/er.1136/full
6,"Fan, P Kulkarni, S Gormus…","Smart grid communications: Overview of research challenges, solutions, and standardization activities",350,2013,http://ieeexplore.ieee.org/abstract/document/6129368/
7,"Gupta, MS Reynolds, SN Patel",ElectriSense: single-point sensing using EMI for electrical event detection and classification in the home,340,2010,http://dl.acm.org/citation.cfm?id=1864375
8,"Zoha, A Gluhak, MA Imran, S Rajasegarar",Non-intrusive load monitoring approaches for disaggregated energy sensing: A survey,298,2012,http://www.mdpi.com/1424-8220/12/12/16838/htm
9,"Kim, M Marwah, M Arlitt, G Lyon, J Han",Unsupervised disaggregation of low frequency power measurements,284,2011,http://epubs.siam.org/doi/abs/10.1137/1.9781611972818.64
0,"Kalogridis, C Efthymiou, SZ Denic…",Privacy for smart meters: Towards undetectable appliance load signatures,285,2010,http://ieeexplore.ieee.org/abstract/document/5622047/
1,"Liang, SKK Ng, G Kendall…","Load signature study—Part I: Basic concept, structure, and methodology",281,2010,http://ieeexplore.ieee.org/abstract/document/5337912/
2," Leeb, SR Shaw, JL Kirtley",Transient event detection in spectral envelope estimates for nonintrusive load monitoring,264,1995,http://ieeexplore.ieee.org/abstract/document/400897/
3,"Rial, G Danezis",Privacy-preserving smart metering,263,2011,http://dl.acm.org/citation.cfm?id=2046564
4,"Srinivasan, WS Ng, AC Liew",Neural-network-based signature recognition for harmonic source identification,259,2006,http://ieeexplore.ieee.org/abstract/document/1564224/
5,"Kim, T Schmid, ZM Charbiwala…",ViridiScope: design and implementation of a fine grained power monitoring system for homes,256,2009,http://dl.acm.org/citation.cfm?id=1620582
