,Author,Title,Citations,Year,Source
0,"Gulati, SS Ram, A Majumdar…",Single point conducted emi sensor with intelligent inference for detecting it appliances,2,2016,http://ieeexplore.ieee.org/abstract/document/7782387/
1,"Cominola, M Giuliani, D Piga, A Castelletti…",A Hybrid Signature-based Iterative Disaggregation algorithm for Non-Intrusive Load Monitoring,3,2017,http://www.sciencedirect.com/science/article/pii/S030626191631488X
2, Lawrence,"Hardware and software architecture for non-contact, non-intrusive load monitoring",2,2016,https://dspace.mit.edu/handle/1721.1/105989
3,"Liszewski, R Łukaszewski, R Kowalik…",Different appliance identification methods in non-intrusive appliance load monitoring,2,2014,https://books.google.com.br/books?hl=en&lr=&id=Gpl7AwAAQBAJ&oi=fnd&pg=PA31&ots=1QrOcsYq6M&sig=eTxvQzbhDf6jK-tl0fyRft21C84
4,"Bonfigli, M Severini, S Squartini…",Improving the performance of the AFAMAP algorithm for Non-Intrusive Load Monitoring,2,2016,http://ieeexplore.ieee.org/abstract/document/7743809/
5,"Paradiso, F Paganelli, D Giuli, S Capobianco",Context-based energy disaggregation in smart homes,2,2016,http://www.mdpi.com/1999-5903/8/1/4/htm
6,"Pereira, NJ Nunes",Low Cost Framework for Non-intrusive Home Energy Monitoring and Research.,2,2012,http://www.academia.edu/download/30294390/pereira_nunes-smartgreens-2012.pdf
7,"Reddy, K Niranjan, A Swaroopa, V Garg",Plug loads: usage and energy consumption analysis,2,2014,http://ibpsa.org/proceedings/asim2014/025_AsimA3-28-365.pdf
8,Hassan,Bi-level characterization of manual setup non-intrusive demand disaggregation using enhanced differential evolution,2,2012,https://pdfs.semanticscholar.org/8325/6e8d0ac27ed2007e2a460b245f2199410a8e.pdf
9,"Tang, K Wu, J Lei, J Tang",A simple and robust approach to energy disaggregation in the presence of outliers,2,2016,http://www.sciencedirect.com/science/article/pii/S2210537916000056
0,"McCary, Y Xiao",Home area network accountability with varying consumption devices in smart grid,2,2016,http://onlinelibrary.wiley.com/doi/10.1002/sec.1393/full
1,"Biansoongnern, B Plangklang",Nonintrusive load monitoring (NILM) using an Artificial Neural Network in embedded system with low sampling rate,2,2016,http://ieeexplore.ieee.org/abstract/document/7561398/
2,"Kalyanaraman, K Whitehouse",An event-based data fusion algorithm for smart cities,2,2015,http://dl.acm.org/citation.cfm?id=2801630
3,"Singh, M Gulati, A Majumdar",Greedy Deep Disaggregating Sparse Coding,2,2016,http://itra.medialabasia.in/data/Documents/HumanSense/publications/Greedy%20Deep%20Disaggregating%20Sparse%20Coding.pdf
4,， 杨洪耕， 高云,智能电表家用负荷识别技术综述,3,2011,http://www.cqvip.com/qk/91845x/201106/40639269.html
5,玲,非侵入式电力负荷分解算法综述,3,2014,http://www.cqvip.com/qk/86275x/201401/48809015.html
6,욱， 서진수， 왕보현,가정용 전력 모니터링 시스템 및 장치식별 알고리즘 개발,3,2011,http://www.dbpia.co.kr/Journal/ArticleDetail/NODE01673577
7,伸吉， 江上司， 鈴木達也， 中村久栄…,整数計画法を用いた電気機器の非侵入型稼働状態モニタリング,2,2008,https://www.jstage.jst.go.jp/article/ieejpes/128/11/128_11_1386/_article/-char/ja/
8,욱， 왕보현,가정용 전력 모니터링을 위한 전력신호 분석 알고리즘 개발,2,2011,http://www.dbpia.co.kr/Journal/ArticleDetail/NODE01758038
9,"Raabe, M Sonnenschein…",Energieberatung in haushalten auf basis des smartmetering,2,0,http://www.oekologisches-wirtschaften.de/index.php/oew/article/download/1182/1178
0, Canaes,Sistema alternativo de pagamento de energia elétrica.\'Uma opção nacional de baixo custo\',2,2006,http://www.teses.usp.br/teses/disponiveis/86/86131/tde-01082007-235759/en.php
1,M do Nascimento,Applications of Deep Learning Techniques on NILM,1,2016,http://lemt.ufrj.br/pdf/pedro.pdf
2,"Hao, B Tang, Y Wang",On the Balance of Meter Deployment Cost and NILM Accuracy.,1,2015,http://www.aaai.org/ocs/index.php/IJCAI/IJCAI15/paper/download/10899/11027
3," Mueller, JW Kimball",An Accurate Method of Energy Use Prediction for Systems with Known Composition,1,2016,http://nilmworkshop.org/2016/proceedings/Poster_ID11.pdf
4,"Adabi, P Manovi, P Mantey",SEADS: A modifiable platform for real time monitoring of residential appliance energy consumption,1,2015,http://ieeexplore.ieee.org/abstract/document/7393703/
5,"Clark, L Lampe",Single-channel compressive sampling of electrical data for non-intrusive load monitoring,1,2015,http://ieeexplore.ieee.org/abstract/document/7418305/
6,"Abidin, A Aly, S Cleemput, MA Mustafa",Towards a local electricity trading market based on secure multiparty computation,1,2016,https://securewww.esat.kuleuven.be/cosic/publications/article-2664.pdf
7," Ibrahim, IH Shanono",ICT for Smart Appliances: Current Technology and Identification of Future ICT Trend,1,2016,http://www.waset.org/publications/10003439
8,Davies,Method and apparatus for monitoring power consumption,1,2016,https://www.google.com/patents/US9250101
9, Gillman,Interpreting human activity from electrical consumption data through non-intrusive load monitoring,1,2014,https://dspace.mit.edu/handle/1721.1/90136
0,Beckel,Scalable and Personalized Energy Efficiency Services with Smart Meter Data,1,0,http://e-collection.library.ethz.ch/eserv/eth:48488/eth-48488-02.pdf
1,Lange,Disaggregation by state inference a probabilistic framework for non-intrusive load monitoring,1,2016,https://aaltodoc.aalto.fi/handle/123456789/19694
2, Lahlou,Decentralized signal processing systems with conservation principles,1,2016,https://dspace.mit.edu/handle/1721.1/105946
3,"Roy, N Pathak, A Misra",AARPA: Combining Mobile and Power-line Sensing for Fine-grained Appliance Usage and Energy Monitoring,1,2015,http://ieeexplore.ieee.org/abstract/document/7264324/
4,"Egarter, W Elmenreich",EvoNILM: Evolutionary appliance detection for miscellaneous household appliances,1,2013,http://dl.acm.org/citation.cfm?id=2482733
5,"Simonov, G Chicco, G Zanetto",Knowledge Representation for Event-Driven Metering,1,2015,http://ieeexplore.ieee.org/abstract/document/7185158/
6,"Benveniste, B Levy, E Fabre, P Le Guernic",A calculus of stochastic systems,1,1994,http://www.springerlink.com/index/fg2g4m747v841578.pdf
7," Patel, S Gupta, MS Reynolds…",Systems and methods for measuring electrical power usage in a structure and systems and methods of calibrating the same,1,2014,https://www.google.com/patents/US8805628
8,"Matsumoto, Y Fujimoto, Y Hayashi",Energy disaggregation based on semi-binary nmf,1,2016,http://link.springer.com/chapter/10.1007/978-3-319-41920-6_31
9,"Novák, M Prokysek",Large smart metering system & security,1,2014,http://ieeexplore.ieee.org/abstract/document/6835272/
0," Chen, CL Lai, LC Kuo",Method and system for monitoring electrical load of electric devices,1,2012,https://www.google.com/patents/US20140005853
1,"Egarter, W Elmenreich",Load disaggregation with metaheuristic optimization,1,2015,https://mobile.aau.at/publications/egarter-2015-load_disaggregation_with_metaheuristic_optimization.pdf
2,"Koo, X Lin, S Bagchi",RL-BLH: Learning-Based Battery Control for Cost Savings and Privacy Preservation for Smart Meters,1,2017,https://engineering.purdue.edu/dcsl/publications/papers/2017/final_smart-grid-privacy_dsn17_cameraready.pdf
3,"Ridi, C Gisler, J Hennebert",Processing smart plug signals using machine learning,2,2015,http://ieeexplore.ieee.org/abstract/document/7122532/
4," Patel, TM Robertson, GD Abowd…",Detecting actuation of electrical devices using electrical noise over a power line,1,2016,https://www.google.com/patents/US9250275
5,"Jacquemod, B Nicolle…",WSN for smart building application,1,2014,http://ieeexplore.ieee.org/abstract/document/6877405/
6,"Zhang, GG Wang, H Farhangi, A Palizban",Data mining of smart meters for load category based disaggregation of residential power consumption,1,2017,http://www.sciencedirect.com/science/article/pii/S2352467716301278
7," Prasad, S Semwal",Multi point sensing (MPS): A solution for resolving complexity in NIALM applications for Indian domestic consumers,1,2014,http://ieeexplore.ieee.org/abstract/document/7042066/
8,Javed,Towards Self-Managing Demand Side Management,1,2013,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.716.1337&rep=rep1&type=pdf
9, Ferránde,Smart Sensor Design for Power Signal Processing,1,2015,http://link.springer.com/chapter/10.1007/978-3-319-26401-1_36
0,"Giaconi, D Gunduz, HV Poor",Smart meter privacy with renewable energy and a storage device,1,2017,https://arxiv.org/abs/1703.08390
1," Fernández, IG Alonso, EZ Casanova",Online identification of appliances from power consumption data collected by smart meters,1,2016,http://link.springer.com/article/10.1007/s10044-015-0487-x
2,Pereira,Towards Automating the Performance Evaluation of Non-Intrusive Load Monitoring Systems,1,2013,http://www.academia.edu/download/32290317/2013_ICT4S_Final_Proceedings_APPENDIX.pdf#page=16
3,"Liu, X Ding, N Gu",A generic energy disaggregation approach: What and when electrical appliances are used,1,2015,http://ieeexplore.ieee.org/abstract/document/7395696/
4," Gillis, WG Morsi",Non-Intrusive Load Monitoring Using Semi-Supervised Machine Learning and Wavelet Design,1,2016,http://ieeexplore.ieee.org/abstract/document/7430361/
