,Author,Title,Citations,Year,Source
5,"Caruso, M Mecella, A Cerocchi…",Energy management in smart spaces through the oplatform,1,2014,http://ieeexplore.ieee.org/abstract/document/7057150/
6,"Semwal, RS Prasad, M Singh",Designing compatible hardware platform for implementation of NIALM,1,2014,http://ieeexplore.ieee.org/abstract/document/6828099/
7,"Guo, CA Bond, A Narayanan","The Adoption of New Smart-Grid Technologies: Incentives, Outcomes, and Opportunities",1,2015,https://books.google.com.br/books?hl=en&lr=&id=igadBgAAQBAJ&oi=fnd&pg=PR1&ots=-r1rmb8-mC&sig=VypXe5PDU2UqTXXXryCP8WDMvjI
8," Meziane, T Picon, P Ravier…",A measurement system for creating datasets of on/off-controlled electrical loads,2,2016,http://ieeexplore.ieee.org/abstract/document/7555847/
9,S Pereira,Low cost non-intrusive home energy monitoring,1,2014,http://digituma.uma.pt/handle/10400.13/581
0,"Piga, A Cominola, M Giuliani, A Castelletti…",A convex optimization approach for automated water and energy end use disaggregation,1,0,https://re.public.polimi.it/retrieve/handle/11311/984718/109685/80662.pdf
1, McLaughlin,Specification-based Attacks and Defenses in Sequential Control Systems,1,2014,https://etda.libraries.psu.edu/catalog/21556
2," Bos, W Castryck, I Iliashenko…",Privacy-friendly Forecasting for the Smart Grid using Homomorphic Encryption and the Group Method of Data Handling,1,2017,http://link.springer.com/chapter/10.1007/978-3-319-57339-7_11
3,"Lu, Y Yang, SK Sharma, P Zambare…",System and method employing a minimum distance and a load feature database to identify electric load types of different electric loads,2,2014,https://www.google.com/patents/US8918346
4,"Li, S West, G Platt",Power signature-based non-intrusive load disaggregation,1,2013,http://www.inderscienceonline.com/doi/abs/10.1504/IJMIC.2013.055909
5,"Tang, G Tang, K Wu",MinNet: toward more intelligent smart home energy management systems with fewer sensors,1,2016,http://www.inderscienceonline.com/doi/abs/10.1504/IJSNET.2016.076727
6,"Fawaz, R Berthier…",A Response Cost Model for Advanced Metering Infrastructures,1,2016,http://ieeexplore.ieee.org/abstract/document/7114342/
7,Pére,A Review of Classification Problems and Algorithms in Renewable Energy Applications,2,2016,http://www.mdpi.com/1996-1073/9/8/607/htm
8,"I Aumi, S Gupta, C Pickett, M Reynolds…",A self-calibrating approach to whole-home contactless power consumption sensing,1,2014,http://dl.acm.org/citation.cfm?id=2636087
9,"Nie, W Yang, L Huang, X Lu",A privacy preserving scheme for change increment of electricity big data base on symmetric cryptography,1,2014,http://ieeexplore.ieee.org/abstract/document/7175784/
0,"Patsakis, M Clear, P Laird",Private Aggregation with Custom Collusion Tolerance,1,2014,http://link.springer.com/chapter/10.1007/978-3-319-16745-9_5
1,"Bergés, K Shao",Classifying Electrical Appliance State Transitions from Power Metrics Time-Series,1,2008,https://sites.google.com/site/marioberges/FinalReport10-701mberges-kshaoFinalV.pdf
2,V Tomás,Inference methods for nonintrusive load monitoring applications,1,2014,https://fenix.tecnico.ulisboa.pt/downloadFile/395146455828/dissertacao.pdf
3,Yang,A Joint Model of Device Load and User Intention in Load Monitoring,1,2012,http://search.proquest.com/openview/8150e3c2ae0886c5bfc7f3633bfe1cf6/1?pq-origsite=gscholar&cbl=2029951
4," Mocanu, E Mocanu, PH Nguyen…",Big IoT data mining for real-time energy disaggregation in buildings,1,2016,http://ieeexplore.ieee.org/abstract/document/7844820/
5, Tabatabaei,Decomposition Techniques for Non-intrusive Home Appliance Load Monitoring,1,2014,https://era.library.ualberta.ca/files/sn009z54r
6,Klein,Non-Intrusive Information Sources for Activity Analysis in Ambient Assisted Living Scenarios,1,2015,http://www.theses.fr/2015MULH8932
7,"Saha, J Bera, G Sarkar",Identification of running household appliances by a state-of-the-art energy meter for a change in consumption pattern,1,2015,http://ieeexplore.ieee.org/abstract/document/7060219/
8,"Klein, D Benyoucef, J Merckle…",Analysis of fingerprints of electric appliances as starting point for an appliance characteristics catalog,1,2014,http://ieeexplore.ieee.org/abstract/document/7049021/
9,"Jung, HH Nguyen, S Viswanathan, B Chen…",Scalable load disaggregation system using distributed electrical signature detection,1,2012,http://dl.acm.org/citation.cfm?id=2422566
0,"Tamburini, M Rossi, D Brunelli",Electronic and ICT Solutions for Smart Buildings and Urban Areas,1,2015,https://books.google.com.br/books?hl=en&lr=&id=PoYfCgAAQBAJ&oi=fnd&pg=PA165&ots=CorouRU7XH&sig=Sk4u2CKPxDkOKrlc9-C5eyD2YVI
1,"K Mantha, CC Menassa…",A taxonomy of data types and data collection methods for building energy monitoring and performance simulation,1,2016,http://www.tandfonline.com/doi/abs/10.1080/17512549.2015.1103665
2,"Ambrosin, H Hosseini, K Mandal…",Despicable me (ter): Anonymous and fine-grained metering data reporting with dishonest meters,1,2016,http://ieeexplore.ieee.org/abstract/document/7860482/
3,Paverd,Trustworthy remote entities in the smart grid,1,2013,https://ora.ox.ac.uk/objects/uuid:c523d3cb-2360-42f3-b0e2-725cc0f86b00/datastreams/ATTACHMENT01
4,"Liu, W Luan, Y Yu",A Fully Unsupervised Appliance Modelling Framework for NILM,1,2016,http://nilmworkshop.org/2016/proceedings/Paper_ID26.pdf
5," Cooke, FK Reed, LJ Prince…",An efficient sparse FFT algorithm with application to signal source separation and 2D virtual image feature extraction,1,2016,http://ieeexplore.ieee.org/abstract/document/7795359/
6,"Gillis, WG Morsi",Non-intrusive load monitoring using orthogonal wavelet analysis,1,2016,http://ieeexplore.ieee.org/abstract/document/7726786/
7," You, HL Kao, BJ Ho, NC Chen…",Thermalprobe: Exploring the use of thermal identification for per-user energy metering,1,2014,http://ieeexplore.ieee.org/abstract/document/7059721/
8," Borin, CH Barriquello…",A novel approach for home appliances identification using vector projection length and Stockwell transform,1,2015,http://ieeexplore.ieee.org/abstract/document/7420171/
9," Tran, GD Lee, TX Pham, GJ Kim…",Identification of In-Home Appliances Through Analysis of Current Consumption,1,2016,http://dl.acm.org/citation.cfm?id=2857562
0,Alshareef,Analysis and techniques for non-intrusive appliance load monitoring.,1,0,http://ir.library.dc-uoit.ca/handle/10155/485
1," Nair, GG Devadhas",Design of nonintrusive load meters with current and temperature calibration,1,2015,http://ieeexplore.ieee.org/abstract/document/7475395/
2,"ZHOU, Y CHEN, Z YOU",Infrastructure-mediated sensing based home appliances monitoring system using the EMI characteristics,1,2014,http://www.ejournal.org.cn/Jweb_cje/EN/article/downloadArticleFile.do?attachType=PDF&id=8471
3,"Rowe, A Goode, E Goldman, U Maurer, M Buevich…",A resource-centric design paradigm for scalable sensor networks,1,2010,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.588.4739
4, Jones,"An investigation of the socio-economic, technical and appliance related factors affecting high electrical energy demand in UK homes",1,2013,https://dspace.lboro.ac.uk/dspace-jspui/handle/2134/14477
5,"Bojanić, S Đorđević, M Dimitrijević…",Efficient nonintrusive distinguisher of small nonlinear electrical loads,1,2016,http://ieeexplore.ieee.org/abstract/document/7521220/
6,"Abidin, A Aly, S Cleemput, MA Mustafa",An MPC-based Privacy-Preserving Protocol for a Local Electricity Trading Market,1,2016,http://link.springer.com/chapter/10.1007/978-3-319-48965-0_40
7,"Srinivasan, C Anandan, SAK Jain…",Low-cost non-intrusive device identification system,1,2016,http://ieeexplore.ieee.org/abstract/document/7791140/
8,"Dufour, D Genoud, G Rizzo, AJ Jara…",Test set validation for home electrical signal disaggregation,1,2014,http://ieeexplore.ieee.org/abstract/document/6975499/
9,"Alizadeh, A Scaglione, A Applebaum…",Scalable and anonymous modeling of large populations of flexible appliances,1,2014,https://arxiv.org/abs/1404.1958
0,"Held, F Laasch, DO Abdeslam…",Frequency invariant transformation of periodic signals (FIT-PS) for signal representation in NILM,1,2016,http://ieeexplore.ieee.org/abstract/document/7793617/
1,"Tang, K Wu",A framework for occupancy-aided energy disaggregation.,1,2016,http://webhome.cs.uvic.ca/~guoming/publications_gmtang/eenergy16_guomingtang.pdf
2,"Dufour, D Genoud, A Jara, J Treboux…",A non-intrusive model to predict the exible energy in a residential building,1,2015,http://ieeexplore.ieee.org/abstract/document/7122531/
3,Pezeshkfar,Low cost framework for non-intrusive load monitoring (NILM) to monitor human behavioral pattern,1,2013,https://mospace.umsystem.edu/xmlui/handle/10355/43019
4,"Vishwakarma, SS Ram",Classification of multiple targets based on disaggregation of Micro-Doppler signatures,1,2016,http://ieeexplore.ieee.org/abstract/document/7931360/
5,"Kong, ZY Dong, J Ma, D Hill…",An Extensible Approach for Non-Intrusive Load Disaggregation with Smart Meter Data,1,2016,http://ieeexplore.ieee.org/abstract/document/7750555/
6,"Tang, K Wu, J Lei",Semi-intrusive load monitoring for large-scale appliances,1,2014,https://pdfs.semanticscholar.org/f579/4f8098a3f00240c0b209e67c582da5f83b20.pdf
7,"Donciu, A Ardeleanu…",Multi-feature load detection algorithm,1,2013,https://www.scientific.net/AMR.772.448
8,De Poli,Self-learning algorithm for energy disaggregation,1,2012,http://tesi.cab.unipd.it/40183/
9," Stercke, A Mijic, J Keirstead",A Review of Urban Water-energy Linkages in End-use: A Call for Joint Demand Studies.,1,2016,http://imsear.li.mahidol.ac.th/handle/123456789/177914
0,"Kelly, N Batra, O Parson, H Dutta…",Demo abstract: NILMTK v0. 2: A Non-intrusive Load Monitoring Toolkit for Large Scale Data Sets,1,2014,https://arxiv.org/abs/1409.5908
1,Pére,An Innovator Nonintrusive Method for Disaggregating and Identifying Two Simultaneous Household Loads.,1,2014,https://books.google.com.br/books?hl=en&lr=&id=Sim5BQAAQBAJ&oi=fnd&pg=PA297&ots=rQ01GX89pY&sig=wk08q0IZA0bPgXnGxyXFQY9fPa8
2,"Patel, MS Reynolds",Whole structure contactless power consumption sensing,1,2015,https://www.google.com/patents/US8930152
3,"Rodriguez, I González, E Zalama",Identification of electrical devices applying big data and machine learning techniques to power consumption data,1,2014,http://link.springer.com/chapter/10.1007/978-3-319-02332-8_4
4, Cotta,Machinery diagnostics and characterization through electrical sensing,1,2015,https://dspace.mit.edu/handle/1721.1/100144
5,"Semwal, RS Prasad, P Juneja",Identifying Appliances using NIALM with Minimum Features,1,2014,http://search.proquest.com/openview/a6072c20ff9c84b9d5904224ab55bc7d/1?pq-origsite=gscholar&cbl=1686344
6," Girmay, C Camarda",Simple Event Detection and Disaggregation Approach for Residential Energy Estimation,1,2016,http://nilmworkshop.org/2016/proceedings/Poster_ID12.pdf
7,"Knirsch, G Eibl, D Engel",Error-resilient Masking Approaches for Privacy Preserving Data Aggregation,1,2016,http://ieeexplore.ieee.org/abstract/document/7748572/
8,"Agarwal, V Munigala, K Ramamritham",Observability: A principled approach to provisioning sensors in buildings,1,2016,http://dl.acm.org/citation.cfm?id=2993427
9, L,Electric load signature analysis for home energy monitoring system,1,2012,http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=E1FLA5_2012_v12n3_193
0,Parson,Could not catch title,1,2011,Look manually at: https://scholar.google.com/scholar?start=820&q=non+intrusive+load+monitoring
1,Pereira,Towards automated non-intrusive load monitoring performance evaluation,1,2013,https://pdfs.semanticscholar.org/7c99/0ad85ec87010c97cc73fbcb3b0ea3ff483a5.pdf
2,Jin,An Active Learning Framework for Non-Intrusive Load Monitoring,1,2016,http://nilmworkshop.org/2016/slides/XinJin.pdf
3,Ahmed,Applying Big Data analytics for energy efficiency.,1,2014,https://aaltodoc.aalto.fi/handle/123456789/13899
4,"McDaniel, W Aiello",Protecting consumer privacy from electric load monitoring,1,2011,https://pdfs.semanticscholar.org/4d51/f1859d64880a90777e734de7377a616dc07b.pdf
5,"Valovage, M Gini",Label correction and event detection for electricity disaggregation,1,2017,http://dl.acm.org/citation.cfm?id=3091266
6,"Liu, W Luan, Y Yu",Dynamic time warping based non-intrusive load transient identification,1,2017,http://www.sciencedirect.com/science/article/pii/S0306261917302209
7,"Lin, Z Wang",Selective control model of DSM in residential area based on load monitoring system,1,2011,http://ieeexplore.ieee.org/abstract/document/6010069/
8,"Li, A Khisti, A a Mahajan",Privacy preserving rechargeable battery policies for smart metering systems,1,0,http://e-collection.library.ethz.ch/eserv/eth:49032/eth-49032-01.pdf
9,"Sala, K Kampouropoulos, MD Prieto…",Disaggregation of HVAC load profiles for the monitoring of individual equipment,1,2016,http://ieeexplore.ieee.org/abstract/document/7733568/
0,"Liu, X Wang, Y Liu, S Cui",Resolution-Enhanced Harmonic and Interharmonic Measurement for Power Quality Analysis in Cyber-Physical Energy System,1,2016,http://www.mdpi.com/1424-8220/16/7/946/htm
1,Suzdalenko,Research and Development of Control Means for Intelligent Household Electrical Grids,1,2013,https://ortus.rtu.lv/science/en/publications/16846/summary.pdf
2, Salthouse,Improvements to the nonintrusive load monitor,1,2000,https://dspace.mit.edu/bitstream/handle/1721.1/86508/46895001-MIT.pdf?sequence=2
3," Lai, IJ Tsai, CY Chiu, CF Lai",Non-Intrusive Load Monitoring applied in energy efficiency of the smart manufacturing industry: A case of air-conditioner,1,2014,http://ieeexplore.ieee.org/abstract/document/6899467/
4,"Czarnek, K Morton, L Collins…",Performance comparison framework for energy disaggregation systems,1,2015,http://ieeexplore.ieee.org/abstract/document/7436341/
5,"Nikolaev, Y Rangelov, A Marinov",Algorithm for indirect load recognition in domestic power consump-tion,1,2013,https://www.researchgate.net/profile/Nikolay_Nikolaev2/publication/250927305_Algorithm_for_indirect_load_recognition_in_domestic_power_consumption/links/00b7d51ee44dfacd38000000.pdf
6," Madrazo, JE Mott, MR Keim…",Calibrating algorithms for determining electrical load and lifestyle characteristics,1,2015,https://www.google.com/patents/US9081374
7," Borin, CH Barriquello, A Campos",Approach for home appliance recognition using vector projection length and Stockwell transform,1,2015,http://digital-library.theiet.org/content/journals/10.1049/el.2015.2385
8,"Kumar, A Braeken, A Gurtov, J Iinatti…",Anonymous Secure Framework in Connected Smart Home Environments,1,2017,http://ieeexplore.ieee.org/abstract/document/7803595/
9,Li,Information theoretic privacy in smart metering systems using rechargeable batteries,1,2016,http://search.proquest.com/openview/29beda93863c39bf4d711654c424cbfe/1?pq-origsite=gscholar&cbl=18750&diss=y
0,"Bernard, M Marx",Unsupervised Learning Algorithm using multiple Electrical Low and High Frequency Features for the task of Load Disaggregation,1,2016,http://nilmworkshop.org/2016/proceedings/Poster_ID17.pdf
1,"Jo, K Kim",Portable wireless smart meter controlled by a smart phone for intelligent energy management,1,2016,http://gvschoolpub.org/journals/IJPDCSD/vol3_2016/1.pdf
2,"Marwah, M Arlitt, C Hoover…",Exploratory analysis of aggregate power metrics in data centers,1,2010,http://proceedings.asmedigitalcollection.asme.org/pdfaccess.ashx?resourceid=5297301&pdfsource=13
3,"Alshareef, WG Morsi",Application of wavelet-based ensemble tree classifier for non-intrusive load monitoring,1,2015,http://ieeexplore.ieee.org/abstract/document/7379983/
4,"Kong, Y Xu, ZY Dong, DJ Hill…",An extended prototypical smart meter architecture for demand side management,1,2015,http://ieeexplore.ieee.org/abstract/document/7281873/
5,"Iksan, SH Supangkat",Adaptive non-intrusive Load Monitoring model using Bayesian learning,1,2014,http://ieeexplore.ieee.org/abstract/document/7013179/
6,"Figueiredo, B Ribeiro…",Exploring the performance of non-negative multi-way factorization for household electrical seasonal consumption disaggregation,1,2014,http://ieeexplore.ieee.org/abstract/document/6889809/
7," Haq, HA Jacobsen",A Step towards Advanced Metering for the Smart Grid: A Survey of Energy Monitors,1,2016,https://arxiv.org/abs/1607.07780
8,"Dinesh, RI Godaliyadda, MPB Ekanayake…",Non-intrusive load monitoring based on low frequency active power measurements,1,2016,http://orca.cf.ac.uk/id/eprint/88736
9,Du,Advanced classification and identification of plugged-in electric loads,1,2013,https://smartech.gatech.edu/handle/1853/50321
0,楼， 于华涛， 曲朝阳,面向家庭用户的用电负荷分解方法,1,2015,http://www.cqvip.com/qk/95191a/201504/665361989.html
1,Benaouda,La communication sans fil dans un réseau électrique intelligent (smart grid): méthodologie de développement,1,2013,http://www.archipel.uqam.ca/id/eprint/5680
2, Monzani,Avaliação de distúrbios elétricos no monitoramento de cargas residenciais,1,2015,https://sites.google.com/a/dee.ufcg.edu.br/gse/anais-xi-cbqee/139488_1.pdf
3,"Łukaszewski, K Liszewski…",Metody identyfikacji odbiorników w systemach monitorowania zużycia energii elektrycznej,1,2013,http://yadda.icm.edu.pl/baztech/session.action?userAction=property&parameterName=search%2FitemsPerPage&parameterValue=100&currentUrl=%2Fbaztech%2Felement%2Fbwmeta1.element.baztech-56ecf7ba-687a-4de6-a310-4c87f24cff6f&currentApplicationPath=%2Felement%2Fbwmeta1.element.baztech-56ecf7ba-687a-4de6-a310-4c87f24cff6f&selectResultsNumber=100
4,， 栾文鹏,基于负荷分解的用电数据云架构方案及应用场景,1,2016,http://www.cqvip.com/qk/91996x/201603/668153424.html
5,EP RODRIGUES,RECONHECIMENTO DE CARGAS ELÉTRICAS MONOFÁSICAS NÃO-LINEARES ATRAVÉS DA DECOMPOSIÇÃO WAVELET E DE REDES NEURAIS  …,1,2009,http://saturno.unifei.edu.br/bim/0034089.pdf
6,"Greveler, B Justus, D Löhr, L für I",Identifikation von Videoinhalten uber granulare Stromverbrauchsdaten,1,0,https://134.147.101.39/media/nds/veroeffentlichungen/2012/07/24/GrJuLo_Smartmeter.pdf
7,"D Azzini, LCP da Silva, JF Fardin, LE de Potência…",Detecção de Eventos Baseada em Variância e Desvio Padrão para monitoramento não intrusivo,1,2014,http://www.swge.inf.br/CBA2014/anais/PDF/1569912157.pdf
8,Jegundo,Development and monetization of an energy data and analytics platform,1,2012,https://estudogeral.sib.uc.pt/handle/10316/25202
9, Bacurau,Medidor de energia inteligente para discriminação de consumo por aparelho através de assinatura de cargas,1,2014,http://repositorio.unicamp.br/handle/REPOSIP/258975
0,， 杨洪耕,基于明可夫斯基距离的家用负荷分类计量,1,2013,http://www.cqvip.com/qk/92179x/201305/46001495.html
1,Pihala,Could not catch title,1,0,Look manually at: https://scholar.google.com/scholar?start=860&q=non+intrusive+load+monitoring
2,"Walz, Y Schröder",A privacy-preserving system architecture for applications raising the energy efficiency,0,2016,http://ieeexplore.ieee.org/abstract/document/7684718/
3,"Aswathi, MJ Babu, V Sowmya, KP Soman",Smart Meter Data Security based on Cosine Transform and Chaotic Theory,0,0,https://www.researchgate.net/profile/Sowmya_Vishvanathan/publication/285430634_Smart_meter_data_security_based_on_cosine_transform_and_chaotic_theory/links/57296f0a08ae057b0a034453.pdf
4,"Simonov, G Chicco, G Zanetto",Event-Driven Energy Metering: Principles and Applications,0,2017,http://ieeexplore.ieee.org/abstract/document/7875140/
5,"Kurczveil, P Diekhake, J Liu, E Schnieder",Consumer load measurement in automated buildings,0,2014,http://www.sciencedirect.com/science/article/pii/S0263224113006052
6,"Meng, XJ Zeng, Y Zhang, CJ Dent, D Gong",An Integrated Optimization+ Learning Approach to Optimal Dynamic Pricing for the Retailer with Multi-type Customers in Smart Grids,0,2016,https://arxiv.org/abs/1612.05971
7,"Jazizadeh, J Wang",Artificial Versus Natural Light Source Identification with Light Intensity Sensors for Energy Monitoring,0,2016,http://www.sciencedirect.com/science/article/pii/S1877705816301308
8," Babu, V Sowmya, KP Soman",Fast Fourier Transform and Nonlinear Circuits Based Approach for Smart Meter Data Security,0,2015,http://www.sciencedirect.com/science/article/pii/S2212017315002595
