,Author,Title,Citations,Year,Source
7,博士， 小野田崇， 由本勝久…,屋外からの家庭内電気機器消費電力推定における 機械学習手法の性能評価,5,2003,https://www.jstage.jst.go.jp/article/ieejeiss/123/7/123_7_1350/_article/-char/ja/
8,Paatero,Computational studies on variable distributed energy systems,5,2009,https://aaltodoc.aalto.fi/handle/123456789/4673
9,El Guedri,"Caractérisation aveugle de la courbe de charge électrique: Détection, classification et estimation des usages dans les secteurs résidentiel et tertiaire",5,0,https://tel.archives-ouvertes.fr/tel-00461671/
0,云， 杨洪耕,基于暂态特征贴近度匹配的家用负荷识别,4,2013,http://aeps.alljournals.ac.cn/aeps/ch/reader/create_pdf.aspx?file_no=201207298&flag=1&journal_id=aeps&year_id=2013
1,"Figueiredo, B Ribeiro, A de Almeida",Analysis of trends in seasonal electrical energy consumption via non-negative tensor factorization,2,2015,http://www.sciencedirect.com/science/article/pii/S0925231215008620
2, Khan,A multiprocessing platform for transient event detection,2,1995,https://dspace.mit.edu/bitstream/handle/1721.1/36662/34791241-MIT.pdf?sequence=2
3,"Kessler, E Buchmann, T Burghardt…",Pattern-sensitive time-series anonymization and its application to energy-consumption data,2,2014,https://www.ronpub.com/index.php/journals/ojis/issues?paperid=OJIS-v1i1n02_Kessler
4,Cavoukian,Privacy by design: Best practices for privacy and the smart grid,2,2011,http://link.springer.com/chapter/10.1007/978-3-8348-9788-6_25
5,"Amirach, B Xerri, B Borloz…",A new approach for event detection and feature extraction for nilm,2,2014,http://ieeexplore.ieee.org/abstract/document/7049978/
6," Kang, K Shin, R Yang, SY Lee, J Sohn",Cost effective disaggregation mechanism for the NIALM system,2,2013,http://www.ijsgce.com/uploadfile/2013/1016/20131016115646990.pdf
7,"Djordjevic, M Dimitrijevic, S Bojanic Antonijevi",Smart meter privacy by suprression of low power frequency components,2,2014,http://oa.upm.es/36936/
8,Parson,Using hidden Markov model variants for non-intrusive appliance load monitoring from smart meter data,2,0,http://wais-demo.ecs.soton.ac.uk/phdreports/Parsons%202012%20-%20MiniThesis-SingleSided.pdf
9,"Jiang, SH Luo, JM Li",Intelligent electrical appliance event recognition using multi-load decomposition,2,2013,https://www.scientific.net/AMR.805-806.1039
0,"Jawurek, F Kerschbaum",Zero knowledge proofs for arbitrary predicates over data,2,2014,https://www.google.com/patents/US8731199
1,"Rongali, AR Choudhury…",A context vector regression based approach for demand forecasting in district heating networks,2,2015,http://ieeexplore.ieee.org/abstract/document/7387141/
2, Reeg,Nonintrusive load monitoring for verification and diagnostics,2,2011,http://www.ideals.illinois.edu/handle/2142/24016
3,Saputro,Performance Optimization of Network Protocols for IEEE 802.11 s-Based Smart Grid Communications,2,2016,http://digitalcommons.fiu.edu/etd/2555/
4," Tina, VA Amenta, O Tomarchio, G Di Modica",EAI Endorsed Transactions,2,2014,http://www.academia.edu/download/41500104/Web_interactive_non_intrusive_load_disag20160124-11994-2q56vk.pdf
